experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
-;cm;m;-;cm;m;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;-;m-1;m-1
1;3.1;0.031;0.018;4.9;0.049;4.1;0.040999999999999995;;;1;0.001;0.0014925373134328358;0;0;0;0;0.3274615559126604;0.327;42.956646768638564;42.96
2;3.1;0.031;0.018;4.05;0.0405;3.25;0.0325;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.4357846274895078;0.436;42.956646768638564;42.96
3;3.1;0.031;0.018;3.45;0.0345;3.1;0.031;;;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.5542756481088355;0.554;42.956646768638564;42.96
4;3.1;0.031;0.018;3.05;0.0305;2.7;0.027000000000000003;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.6668139579557532;0.667;42.956646768638564;42.96
5;3.1;0.031;0.018;2.6;0.026000000000000002;2.2;0.022000000000000002;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.8472165269196563;0.847;42.956646768638564;42.96
6;3.1;0.031;0.018;6.5;0.065;5.65;0.0565;;;2;0.002;0.0029850746268656717;0;0;0;0;0.4286614234245555;0.429;27.060991748353157;27.06
7;3.1;0.031;0.019;6.75;0.0675;5.4;0.054000000000000006;;;2;0.002;0.0029850746268656717;0;0;0;0;0.39426500389842933;0.394;27.55311728082727;27.55
8;3.1;0.031;0.019;8.65;0.08650000000000001;6.95;0.0695;;;3;0.003;0.004477611940298507;0;0;0;0;0.40767209638737223;0.408;21.026963852070217;21.03
9;3.1;0.031;0.019;7.3;0.073;5.45;0.0545;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5258366562885884;0.526;21.026963852070217;21.03
10;3.1;0.031;0.019;6.9;0.069;5.15;0.051500000000000004;;;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5722179955986137;0.572;21.026963852070217;21.03
11;3.1;0.031;0.018;6.4;0.064;4.75;0.0475;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6581209785822804;0.658;20.651401781305378;20.65
